Initial:  {'Temperature': 1.0, 'Pressure': 222.58978716154098, 'Total Energy': 3144.9394479248913, 'Momentum Magnitude': 2.6148868358935697e-13}
400 {'Temperature': 0.4874891866447727, 'Pressure': 228.5101210969461, 'Total Energy': 3150.123332484293, 'Momentum Magnitude': 3.2999048346519777e-13}
410 {'Temperature': 0.5150443647658447, 'Pressure': 228.19598950614213, 'Total Energy': 3149.9575319964983, 'Momentum Magnitude': 3.2792201369236437e-13}
420 {'Temperature': 0.46051997449367543, 'Pressure': 228.81959392193878, 'Total Energy': 3150.387750328415, 'Momentum Magnitude': 3.2961087516270633e-13}
430 {'Temperature': 0.51972050458044, 'Pressure': 228.13925199511016, 'Total Energy': 3149.808459489726, 'Momentum Magnitude': 3.402743058023298e-13}
440 {'Temperature': 0.5121968397766835, 'Pressure': 228.22952138179465, 'Total Energy': 3149.990388097425, 'Momentum Magnitude': 3.4686411251135313e-13}
450 {'Temperature': 0.49344033246867725, 'Pressure': 228.4439298793095, 'Total Energy': 3150.118008632452, 'Momentum Magnitude': 3.3983759034865167e-13}
460 {'Temperature': 0.49802745411572114, 'Pressure': 228.3918831268686, 'Total Energy': 3150.100340408712, 'Momentum Magnitude': 3.3540511933002314e-13}
470 {'Temperature': 0.4905537765220928, 'Pressure': 228.47068717328574, 'Total Energy': 3150.1176581258983, 'Momentum Magnitude': 3.419312368921406e-13}
480 {'Temperature': 0.4644454588017449, 'Pressure': 228.76192602431234, 'Total Energy': 3150.130184727638, 'Momentum Magnitude': 3.3836798896556134e-13}
490 {'Temperature': 0.48211261199702726, 'Pressure': 228.58050069403063, 'Total Energy': 3150.5570441107625, 'Momentum Magnitude': 3.372320529773744e-13}
500 {'Temperature': 0.46730384900478683, 'Pressure': 228.7402349155848, 'Total Energy': 3150.240378440304, 'Momentum Magnitude': 3.220059633056426e-13}
510 {'Temperature': 0.4807591886474664, 'Pressure': 228.59594793130003, 'Total Energy': 3150.5055553248662, 'Momentum Magnitude': 3.1503724351396516e-13}
520 {'Temperature': 0.524585279671589, 'Pressure': 228.0726549289143, 'Total Energy': 3149.6721996666465, 'Momentum Magnitude': 3.229716491403072e-13}
530 {'Temperature': 0.47973915175503934, 'Pressure': 228.60401239960797, 'Total Energy': 3150.458341261029, 'Momentum Magnitude': 3.4631315873699855e-13}
540 {'Temperature': 0.5179552266434484, 'Pressure': 228.15034737956032, 'Total Energy': 3149.756146702946, 'Momentum Magnitude': 3.464117213415032e-13}
550 {'Temperature': 0.4739574503912946, 'Pressure': 228.66501272729226, 'Total Energy': 3150.385847279433, 'Momentum Magnitude': 3.5686251976695777e-13}
560 {'Temperature': 0.5225142212432234, 'Pressure': 228.09511386023914, 'Total Energy': 3149.686296048168, 'Momentum Magnitude': 3.661192519451996e-13}
570 {'Temperature': 0.5336083824429401, 'Pressure': 227.9753176279695, 'Total Energy': 3149.634199191243, 'Momentum Magnitude': 3.5578966346219785e-13}
580 {'Temperature': 0.5190070150906763, 'Pressure': 228.15269178230238, 'Total Energy': 3150.077416234576, 'Momentum Magnitude': 3.7258582920319574e-13}
590 {'Temperature': 0.506697402146765, 'Pressure': 228.28875921827685, 'Total Energy': 3149.9829609545536, 'Momentum Magnitude': 3.843439751207643e-13}
600 {'Temperature': 0.5230411044648737, 'Pressure': 228.10374619539425, 'Total Energy': 3149.8742827066567, 'Momentum Magnitude': 3.870414455334393e-13}
610 {'Temperature': 0.5241917854028528, 'Pressure': 228.0738220958454, 'Total Energy': 3149.6063861954003, 'Momentum Magnitude': 3.808236035598433e-13}
620 {'Temperature': 0.5169833725653494, 'Pressure': 228.17575505640386, 'Total Energy': 3149.9417500292407, 'Momentum Magnitude': 3.7614588735430657e-13}
630 {'Temperature': 0.5240304771777635, 'Pressure': 228.0848657867399, 'Total Energy': 3149.756649367184, 'Momentum Magnitude': 3.8226952533149165e-13}
640 {'Temperature': 0.5134187427016134, 'Pressure': 228.21755885508864, 'Total Energy': 3150.0931462191797, 'Momentum Magnitude': 3.9751947794124035e-13}
650 {'Temperature': 0.5250001893635722, 'Pressure': 228.0744756169505, 'Total Energy': 3149.7922010081975, 'Momentum Magnitude': 3.947734153346068e-13}
660 {'Temperature': 0.4998781518886929, 'Pressure': 228.35939171904164, 'Total Energy': 3149.960617645429, 'Momentum Magnitude': 3.924967607656352e-13}
670 {'Temperature': 0.4372540679978113, 'Pressure': 229.09939334888608, 'Total Energy': 3150.9037947460806, 'Momentum Magnitude': 3.8883218982585596e-13}
680 {'Temperature': 0.5095064886085666, 'Pressure': 228.25194160942567, 'Total Energy': 3149.92117673609, 'Momentum Magnitude': 3.7457908913290444e-13}
690 {'Temperature': 0.4905974004826524, 'Pressure': 228.46836929260144, 'Total Energy': 3150.124144630828, 'Momentum Magnitude': 3.838904366789198e-13}
700 {'Temperature': 0.5049520015916753, 'Pressure': 228.30880255448793, 'Total Energy': 3150.1874775078145, 'Momentum Magnitude': 3.72117631848549e-13}
710 {'Temperature': 0.5180246778511653, 'Pressure': 228.16380370079904, 'Total Energy': 3150.0830578785103, 'Momentum Magnitude': 3.760952966973365e-13}
720 {'Temperature': 0.4494951435522252, 'Pressure': 228.94195003468747, 'Total Energy': 3150.58265405442, 'Momentum Magnitude': 3.651816219861569e-13}
730 {'Temperature': 0.48734472639723486, 'Pressure': 228.51053887233311, 'Total Energy': 3150.2495007648713, 'Momentum Magnitude': 3.695183497814263e-13}
740 {'Temperature': 0.4985950070693899, 'Pressure': 228.38430350178416, 'Total Energy': 3150.1300878756065, 'Momentum Magnitude': 3.642125012275661e-13}
750 {'Temperature': 0.4909342756194583, 'Pressure': 228.46471861235034, 'Total Energy': 3150.133587548302, 'Momentum Magnitude': 3.7978490743210656e-13}
760 {'Temperature': 0.5230547583206416, 'Pressure': 228.10728909869445, 'Total Energy': 3149.9915937789833, 'Momentum Magnitude': 3.985745809279936e-13}
770 {'Temperature': 0.5605749286441379, 'Pressure': 227.66532861549777, 'Total Energy': 3149.3702730429277, 'Momentum Magnitude': 3.9825703383234454e-13}
780 {'Temperature': 0.4656115930723447, 'Pressure': 228.75603523808152, 'Total Energy': 3150.5501274349103, 'Momentum Magnitude': 4.0809041445580845e-13}
790 {'Temperature': 0.5203711331971446, 'Pressure': 228.13145771812444, 'Total Energy': 3149.8167567906366, 'Momentum Magnitude': 4.160486682846282e-13}
800 {'Temperature': 0.4940750835935746, 'Pressure': 228.43321376915173, 'Total Energy': 3150.2537665773493, 'Momentum Magnitude': 4.168613847255344e-13}
810 {'Temperature': 0.48027103090291445, 'Pressure': 228.58059664786916, 'Total Energy': 3149.936102271699, 'Momentum Magnitude': 4.1335075575462835e-13}
820 {'Temperature': 0.5194152063349989, 'Pressure': 228.14908062076367, 'Total Energy': 3150.0045288531855, 'Momentum Magnitude': 4.017234444490113e-13}
830 {'Temperature': 0.5085909149066966, 'Pressure': 228.27181142615882, 'Total Energy': 3150.1820405092103, 'Momentum Magnitude': 4.1434676398548763e-13}
840 {'Temperature': 0.5041650800649237, 'Pressure': 228.31122331932113, 'Total Energy': 3149.9056590631462, 'Momentum Magnitude': 4.179954154528297e-13}
850 {'Temperature': 0.5062462237902805, 'Pressure': 228.30155342046916, 'Total Energy': 3150.247445083492, 'Momentum Magnitude': 4.0561815645218365e-13}
860 {'Temperature': 0.4927589562908885, 'Pressure': 228.4432868525642, 'Total Energy': 3150.058548343658, 'Momentum Magnitude': 4.137418746058143e-13}
870 {'Temperature': 0.4825658673584625, 'Pressure': 228.56242181222981, 'Total Energy': 3150.390172438322, 'Momentum Magnitude': 4.1437945193442107e-13}
880 {'Temperature': 0.510731791483367, 'Pressure': 228.2431953384848, 'Total Energy': 3150.00238635832, 'Momentum Magnitude': 4.2598678757673776e-13}
890 {'Temperature': 0.4861475815598551, 'Pressure': 228.5240016427293, 'Total Energy': 3150.1399764550947, 'Momentum Magnitude': 4.17195119769851e-13}
900 {'Temperature': 0.48629981713216824, 'Pressure': 228.5318375774427, 'Total Energy': 3150.48708949699, 'Momentum Magnitude': 4.0178573408845746e-13}
