epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        60, 32279.230,    0.005,       0.00012194,       6.5385e-06,          0.12195,      0.00958,       0.0134,      0.00615,       0.0118,       0.0116,      0.00982,      0.00842,       0.0157,       0.0156,       0.0132,       0.0509,      0.00242,       3.4605e-05,       1.8237e-06,         0.034607,        0.005,      0.00713,      0.00295,      0.00646,      0.00581,      0.00507,      0.00414,      0.00869,      0.00791,      0.00691,       0.0337,       0.0016
        61, 32801.160,    0.005,       0.00011803,       7.8262e-06,          0.11803,       0.0095,       0.0132,       0.0062,       0.0116,       0.0114,      0.00973,      0.00844,       0.0154,       0.0153,       0.0131,       0.0562,      0.00268,       3.3759e-05,       6.5378e-07,          0.03376,      0.00496,      0.00704,      0.00296,      0.00637,      0.00579,      0.00504,      0.00408,      0.00856,      0.00787,      0.00684,       0.0193,     0.000919
        62, 33323.110,    0.005,       0.00012867,       8.8141e-06,          0.12868,      0.00987,       0.0137,      0.00646,        0.012,        0.012,       0.0101,      0.00885,        0.016,       0.0162,       0.0137,       0.0582,      0.00277,       3.4245e-05,       2.5925e-06,         0.034247,      0.00498,      0.00709,      0.00291,      0.00639,      0.00596,      0.00509,      0.00403,       0.0086,      0.00806,       0.0069,       0.0403,      0.00192
        63, 33846.205,    0.005,       0.00010916,       7.1685e-06,          0.10917,      0.00908,       0.0127,      0.00581,       0.0111,        0.011,      0.00931,      0.00797,       0.0148,       0.0149,       0.0125,       0.0552,      0.00263,       3.2503e-05,       6.7988e-07,         0.032504,      0.00486,      0.00691,      0.00286,      0.00626,      0.00572,      0.00495,      0.00394,      0.00843,      0.00772,       0.0067,       0.0197,      0.00094
        64, 34366.963,    0.005,       0.00011743,       7.6095e-06,          0.11744,      0.00939,       0.0131,      0.00604,       0.0115,       0.0114,      0.00963,      0.00829,       0.0153,       0.0155,        0.013,       0.0552,      0.00263,       3.3012e-05,       1.0271e-06,         0.033013,       0.0049,      0.00696,      0.00292,       0.0063,      0.00572,      0.00498,      0.00404,      0.00845,      0.00782,      0.00677,       0.0248,      0.00118
        65, 34894.455,    0.005,       0.00011473,       7.1324e-06,          0.11473,      0.00923,        0.013,      0.00596,       0.0113,       0.0112,      0.00948,      0.00822,       0.0151,       0.0154,       0.0129,       0.0542,      0.00258,       3.1451e-05,       2.0441e-07,         0.031451,      0.00477,      0.00679,       0.0028,      0.00613,      0.00564,      0.00486,       0.0039,      0.00826,      0.00766,       0.0066,      0.00975,     0.000464
        66, 35422.675,    0.005,       0.00010992,       9.8291e-06,          0.10993,      0.00908,       0.0127,      0.00585,       0.0112,       0.0108,      0.00929,      0.00805,        0.015,       0.0146,       0.0126,       0.0597,      0.00284,       3.1047e-05,       2.1537e-07,         0.031047,      0.00477,      0.00675,      0.00282,      0.00613,       0.0056,      0.00485,      0.00392,      0.00819,      0.00758,      0.00657,      0.00998,     0.000475
        67, 35949.676,    0.005,       0.00011631,       7.4073e-06,          0.11632,      0.00933,       0.0131,      0.00606,       0.0113,       0.0114,       0.0096,      0.00842,       0.0151,       0.0155,        0.013,       0.0539,      0.00257,       3.3756e-05,       5.3694e-06,         0.033762,      0.00494,      0.00704,      0.00288,      0.00636,      0.00584,      0.00503,      0.00401,      0.00856,      0.00794,      0.00684,       0.0585,      0.00279
        68, 36479.829,    0.005,        0.0001009,       6.1976e-06,          0.10091,      0.00874,       0.0122,       0.0056,       0.0109,       0.0103,       0.0089,      0.00766,       0.0144,       0.0138,        0.012,       0.0494,      0.00235,       3.1512e-05,        6.167e-07,         0.031512,      0.00478,       0.0068,      0.00281,      0.00616,       0.0056,      0.00486,      0.00392,      0.00829,      0.00758,       0.0066,       0.0187,     0.000892
        69, 37007.076,    0.005,       0.00011135,       8.1355e-06,          0.11136,      0.00914,       0.0128,      0.00588,       0.0111,       0.0112,       0.0094,      0.00813,       0.0148,       0.0152,       0.0127,       0.0573,      0.00273,       3.0384e-05,       3.0887e-07,         0.030384,       0.0047,      0.00668,      0.00281,      0.00601,      0.00552,      0.00478,      0.00392,      0.00808,      0.00752,       0.0065,       0.0125,     0.000596
        70, 37528.205,    0.005,       0.00010396,       7.6105e-06,          0.10396,      0.00891,       0.0124,      0.00579,       0.0109,       0.0108,      0.00914,      0.00789,       0.0144,       0.0144,       0.0122,        0.057,      0.00272,       3.0277e-05,       3.4786e-07,         0.030277,      0.00467,      0.00667,      0.00274,      0.00604,      0.00542,      0.00473,      0.00381,      0.00813,      0.00745,      0.00646,       0.0133,     0.000636
        71, 38054.719,    0.005,       0.00011233,       9.8992e-06,          0.11234,      0.00905,       0.0128,      0.00579,       0.0111,        0.011,      0.00929,      0.00803,        0.015,       0.0151,       0.0127,       0.0595,      0.00283,       2.9924e-05,       8.9256e-08,         0.029924,      0.00467,      0.00663,      0.00278,      0.00598,      0.00552,      0.00476,      0.00385,      0.00805,      0.00744,      0.00644,      0.00598,     0.000285
        72, 38588.830,    0.005,        0.0001059,       6.3923e-06,          0.10591,      0.00889,       0.0125,      0.00575,       0.0109,       0.0106,      0.00909,      0.00792,       0.0146,       0.0145,       0.0123,       0.0496,      0.00236,         3.25e-05,       1.0049e-06,         0.032501,      0.00484,      0.00691,      0.00284,      0.00623,      0.00573,      0.00493,      0.00396,       0.0084,      0.00778,      0.00671,       0.0245,      0.00117
        73, 39115.008,    0.005,       0.00010262,       1.0023e-05,          0.10263,      0.00877,       0.0123,      0.00563,       0.0107,       0.0107,        0.009,      0.00776,       0.0143,       0.0145,       0.0122,       0.0619,      0.00295,       2.9253e-05,       9.1708e-08,         0.029253,      0.00461,      0.00655,      0.00271,      0.00595,      0.00539,      0.00469,      0.00376,      0.00801,      0.00727,      0.00635,       0.0061,      0.00029
        74, 39640.332,    0.005,       0.00010217,       8.2575e-06,          0.10218,      0.00878,       0.0122,      0.00565,       0.0108,       0.0106,        0.009,      0.00772,       0.0144,       0.0143,       0.0121,       0.0569,      0.00271,       3.0753e-05,       7.8431e-08,         0.030753,       0.0047,      0.00672,      0.00276,      0.00603,      0.00557,      0.00479,      0.00384,      0.00817,      0.00758,      0.00653,      0.00561,     0.000267
        75, 40163.776,    0.005,       9.4849e-05,       6.9813e-06,         0.094856,      0.00851,       0.0118,      0.00547,       0.0104,       0.0103,      0.00872,      0.00746,       0.0138,       0.0138,       0.0117,       0.0534,      0.00255,       2.8472e-05,       4.1488e-07,         0.028473,      0.00454,      0.00647,      0.00272,      0.00582,      0.00528,      0.00461,      0.00377,      0.00786,       0.0072,      0.00628,       0.0149,     0.000709
