epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        15, 8370.716,    0.005,       0.00037102,       2.1109e-05,          0.37104,       0.0166,       0.0233,       0.0102,       0.0208,       0.0201,        0.017,        0.014,       0.0277,       0.0271,        0.023,       0.0917,      0.00437,        0.0001124,       2.5937e-05,          0.11242,      0.00898,       0.0128,      0.00493,       0.0117,        0.011,      0.00921,      0.00687,       0.0157,       0.0148,       0.0124,        0.129,      0.00615
        16, 8924.055,    0.005,       0.00036934,       1.8116e-05,          0.36936,       0.0164,       0.0233,         0.01,       0.0202,       0.0205,       0.0169,       0.0139,       0.0274,       0.0278,        0.023,       0.0846,      0.00403,       0.00010365,       1.5019e-06,          0.10365,       0.0086,       0.0123,      0.00478,       0.0112,       0.0105,       0.0088,      0.00666,       0.0151,       0.0141,       0.0119,       0.0297,      0.00141
        17, 9463.251,    0.005,       0.00035231,       1.8989e-05,          0.35233,       0.0161,       0.0227,      0.00991,         0.02,       0.0197,       0.0165,       0.0137,       0.0269,       0.0267,       0.0224,       0.0885,      0.00422,       9.7638e-05,       1.4255e-05,         0.097653,      0.00842,        0.012,      0.00466,       0.0109,       0.0103,      0.00863,      0.00647,       0.0146,       0.0137,       0.0116,       0.0956,      0.00455
        18, 10009.409,    0.005,       0.00033795,       1.6888e-05,          0.33797,       0.0157,       0.0223,      0.00973,       0.0194,       0.0193,       0.0162,       0.0135,       0.0262,       0.0264,        0.022,       0.0797,       0.0038,       9.4038e-05,       1.7025e-05,         0.094055,      0.00822,       0.0117,      0.00457,       0.0107,      0.00989,      0.00839,      0.00639,       0.0144,       0.0133,       0.0114,        0.105,      0.00498
        19, 10553.189,    0.005,        0.0002935,       1.4562e-05,          0.29351,       0.0149,       0.0208,      0.00931,       0.0184,       0.0181,       0.0153,       0.0127,       0.0245,       0.0243,       0.0205,       0.0783,      0.00373,       9.2086e-05,       8.3847e-06,         0.092094,       0.0081,       0.0116,      0.00444,       0.0105,      0.00995,      0.00831,       0.0062,       0.0142,       0.0134,       0.0113,        0.073,      0.00348
        20, 11099.607,    0.005,       0.00032081,       2.1179e-05,          0.32083,       0.0153,       0.0217,      0.00957,        0.019,       0.0187,       0.0158,       0.0133,       0.0255,       0.0255,       0.0215,       0.0887,      0.00422,       9.6609e-05,       2.8024e-05,         0.096637,      0.00836,       0.0119,      0.00475,       0.0107,       0.0102,      0.00858,      0.00672,       0.0144,       0.0137,       0.0116,        0.134,       0.0064
        21, 11648.027,    0.005,       0.00026769,       1.2392e-05,          0.26771,       0.0141,       0.0198,      0.00878,       0.0175,       0.0173,       0.0145,        0.012,       0.0234,       0.0232,       0.0196,       0.0717,      0.00342,       7.8658e-05,       3.1247e-06,         0.078661,      0.00755,       0.0107,      0.00429,      0.00975,      0.00914,      0.00773,      0.00592,       0.0131,       0.0123,       0.0104,       0.0441,       0.0021
        22, 12197.101,    0.005,       0.00026986,       1.4897e-05,          0.26987,       0.0142,       0.0199,      0.00887,       0.0175,       0.0173,       0.0145,       0.0122,       0.0234,       0.0234,       0.0197,       0.0771,      0.00367,       7.5774e-05,       1.2054e-06,         0.075775,       0.0074,       0.0105,      0.00413,      0.00962,      0.00894,      0.00756,      0.00575,       0.0129,        0.012,       0.0102,       0.0266,      0.00127
        23, 12740.517,    0.005,       0.00026314,       1.7651e-05,          0.26316,       0.0141,       0.0197,      0.00882,       0.0174,       0.0172,       0.0145,        0.012,       0.0231,       0.0232,       0.0194,       0.0856,      0.00408,       7.3592e-05,       7.8621e-06,           0.0736,       0.0073,       0.0104,      0.00412,      0.00945,      0.00882,      0.00746,      0.00573,       0.0127,       0.0119,       0.0101,       0.0708,      0.00337
        24, 13279.748,    0.005,       0.00025184,       1.2064e-05,          0.25186,       0.0138,       0.0192,      0.00851,        0.017,       0.0169,       0.0141,       0.0116,       0.0227,       0.0227,        0.019,       0.0694,       0.0033,        7.164e-05,       7.3638e-06,         0.071647,      0.00718,       0.0103,      0.00406,       0.0093,      0.00865,      0.00734,      0.00561,       0.0125,       0.0117,      0.00995,       0.0685,      0.00326
        25, 13824.862,    0.005,       0.00024223,       1.3992e-05,          0.24224,       0.0134,       0.0189,      0.00845,       0.0166,       0.0163,       0.0138,       0.0116,       0.0222,       0.0222,       0.0186,       0.0739,      0.00352,       6.8962e-05,       9.2963e-07,         0.068963,      0.00705,       0.0101,        0.004,      0.00912,      0.00851,      0.00721,      0.00554,       0.0123,       0.0115,      0.00976,       0.0231,       0.0011
        26, 14360.739,    0.005,       0.00023729,       1.4589e-05,          0.23731,       0.0134,       0.0187,      0.00837,       0.0165,       0.0163,       0.0137,       0.0115,       0.0219,        0.022,       0.0185,       0.0761,      0.00362,       6.6398e-05,       4.9691e-06,         0.066403,      0.00691,      0.00987,      0.00391,      0.00897,      0.00826,      0.00705,      0.00543,       0.0121,       0.0112,      0.00956,        0.056,      0.00267
        27, 14901.498,    0.005,        0.0002326,       1.5829e-05,          0.23261,       0.0131,       0.0185,      0.00827,       0.0162,       0.0159,       0.0135,       0.0114,       0.0218,       0.0216,       0.0183,       0.0802,      0.00382,       6.2617e-05,       1.6525e-06,         0.062619,      0.00672,      0.00959,      0.00387,      0.00871,      0.00796,      0.00685,      0.00535,       0.0117,       0.0108,      0.00928,       0.0317,      0.00151
        28, 15439.044,    0.005,       0.00024296,       1.6661e-05,          0.24297,       0.0134,       0.0189,      0.00836,       0.0165,       0.0164,       0.0138,       0.0116,       0.0222,       0.0223,       0.0187,         0.08,      0.00381,        6.402e-05,       4.8871e-06,         0.064025,      0.00681,      0.00969,      0.00386,      0.00882,       0.0082,      0.00696,      0.00533,       0.0118,        0.011,       0.0094,       0.0556,      0.00265
        29, 15974.906,    0.005,       0.00021002,       1.3425e-05,          0.21003,       0.0125,       0.0176,      0.00797,       0.0155,       0.0151,       0.0129,       0.0111,       0.0206,       0.0205,       0.0174,       0.0743,      0.00354,         5.99e-05,       6.9111e-06,         0.059907,       0.0066,      0.00938,      0.00373,      0.00855,      0.00793,      0.00674,      0.00517,       0.0114,       0.0107,       0.0091,       0.0664,      0.00316
        30, 16509.296,    0.005,       0.00021847,       1.4202e-05,          0.21849,       0.0127,       0.0179,      0.00801,       0.0156,       0.0155,       0.0131,       0.0111,        0.021,        0.021,       0.0177,       0.0771,      0.00367,        5.963e-05,       4.9005e-06,         0.059635,      0.00658,      0.00936,      0.00375,      0.00854,      0.00784,      0.00671,      0.00521,       0.0114,       0.0106,      0.00907,       0.0557,      0.00265
        31, 17043.596,    0.005,       0.00020898,       1.3992e-05,            0.209,       0.0125,       0.0175,      0.00785,       0.0155,       0.0152,       0.0128,       0.0108,       0.0206,       0.0204,       0.0173,       0.0733,      0.00349,       5.8413e-05,       1.3084e-07,         0.058413,      0.00648,      0.00926,       0.0037,      0.00835,       0.0078,      0.00662,      0.00515,       0.0113,       0.0106,      0.00899,      0.00727,     0.000346
        32, 17579.847,    0.005,       0.00020485,       1.2071e-05,          0.20486,       0.0124,       0.0173,      0.00784,       0.0152,       0.0152,       0.0127,       0.0108,       0.0203,       0.0205,       0.0172,       0.0712,      0.00339,       5.6452e-05,       2.0226e-06,         0.056454,      0.00639,       0.0091,      0.00365,      0.00828,      0.00762,      0.00652,      0.00506,       0.0111,       0.0103,      0.00882,       0.0353,      0.00168
        33, 18113.736,    0.005,       0.00020135,       1.3542e-05,          0.20136,       0.0123,       0.0172,      0.00772,       0.0151,        0.015,       0.0126,       0.0106,       0.0202,       0.0202,        0.017,       0.0739,      0.00352,       5.4802e-05,       6.3298e-06,         0.054808,      0.00632,      0.00897,      0.00367,      0.00815,      0.00751,      0.00644,      0.00508,       0.0109,       0.0101,       0.0087,       0.0635,      0.00303
        34, 18650.848,    0.005,        0.0001888,        1.228e-05,          0.18881,       0.0118,       0.0166,       0.0075,       0.0145,       0.0143,       0.0121,       0.0104,       0.0195,       0.0195,       0.0165,       0.0674,      0.00321,       5.2657e-05,        1.361e-07,         0.052657,      0.00617,      0.00879,      0.00352,      0.00798,      0.00738,      0.00629,       0.0049,       0.0107,      0.00997,      0.00853,      0.00757,      0.00036
        35, 19191.551,    0.005,       0.00020209,       1.4774e-05,          0.20211,       0.0121,       0.0172,      0.00764,       0.0149,       0.0148,       0.0124,       0.0106,       0.0202,       0.0204,       0.0171,       0.0727,      0.00346,       5.1761e-05,       4.4516e-07,         0.051762,      0.00613,      0.00872,      0.00353,       0.0079,      0.00737,      0.00627,      0.00489,       0.0106,      0.00998,      0.00848,       0.0154,     0.000733
